Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,10061.873743480066,10171.333511487659,10592.367581169521,11126.644646057604,11477.937574856558,11711.27393587748,11898.875426932313,12109.522389548132,12283.506787677385,12435.458668854819,12605.380770443378,12830.901543391135,13069.174567716731,13586.661021905158,13861.12111339164,14038.275744932876,14156.787620472827,14253.281223073709,14385.27541014766,14458.35428630954,14645.748633914389,14868.810348172474,15065.556659877582,15426.545857169385,15712.350529233709,15902.337632607934,16244.829014994551,16670.457909972218
Armenia,4065.537112284092,4224.734193335494,4381.494922277676,4403.595436329575,4338.969827679827,4300.537462765725,4370.198625572956,4377.554780678171,4412.332571850182,4468.879364800805,4537.508598612462,4650.971208926942,4817.240785534834,4941.306806112959,5010.272932060003,5157.0406190029435,5298.024539061278,5376.948837083672,5544.711047612385,5590.438159047948,5637.995522096557,5636.8630604329455,5629.313662548249,5594.057999124215,5624.621473466146,5729.507827315617,5738.458240735256,5755.616259263322
Azerbaijan,6013.869764865183,6341.229678069085,6787.8348447900125,6992.411165000861,7237.829767865251,7084.442519930329,7079.936077179364,7018.216787645943,6992.349131017866,6970.5445822544225,6919.840095220044,6985.523198960384,7182.014670711554,7454.0358267669,7619.627811944486,7846.170155393489,8019.331142614541,8103.881745124823,8385.64638192285,8632.950690647865,8897.20196331171,9164.002074447775,9401.531145331426,9640.972378593264,9887.012245989665,10163.859343233802,10577.425623506117,10953.701405140084
Bahrain,226.45552741347362,236.65709735883584,247.3013431153199,254.83117678561473,262.388681932017,272.2455211232986,280.85774965131054,290.9318622405195,297.72050927537634,298.6621253457184,298.45312270710843,303.11457560935946,310.9566521452748,328.2427569507965,342.34706576760067,346.8207975834859,343.30829756952744,348.5376573031533,355.5484409416033,362.109887823339,377.95981581276993,393.5836273023797,411.09218213180407,428.3968746243029,450.7469047808902,483.2971199921897,517.1320383097006,552.6334744695807
Bangladesh,56165.891592911204,53571.439514458856,54052.361681982686,53933.10639982503,53987.6062170575,55212.24539968637,55113.93393794459,55234.15139423343,55498.048675654296,56172.82682235199,58021.332365153045,58550.522786016976,59971.039002881174,62044.004728649496,63873.400807309874,66083.38679373992,68595.70622267977,71759.5069922723,74186.13453978332,75511.76759852486,78109.11485282236,79075.92029653695,80350.3943930434,83439.76234322449,88712.43126063752,91505.81410570328,94469.42506310076,99301.65988606529
Bhutan,264.7475358928382,265.6322882582193,266.4739415345806,269.5831436844447,273.42878612300177,277.93739747314936,280.3961105736164,287.6090448586189,292.6998039572949,295.70974177395743,302.54334072944766,308.3112290816992,314.1544357432439,322.8484423640855,330.60627196992533,339.7583357292952,348.41055981685133,359.2353733948208,370.12650672326953,382.9686849933416,394.882075280365,407.23735010440805,419.5122539233569,432.65577880953424,446.0018432727592,459.9790900478435,474.329225795982,488.275625013194
Brunei,187.33278237246296,188.45364535936775,189.4618124044964,189.5200749594837,191.1935430183757,193.48147490243954,197.03434040568385,201.83314996203984,207.34200088893303,214.72611529797481,225.7451906315541,233.47364507146287,243.53074169147988,255.00562112865498,267.79718995672073,280.5999245660419,294.10371543598666,309.0505318877763,324.82321595001184,341.51365620901777,359.89341975909036,383.5828805173695,401.3563380295929,417.72117508723335,434.5702145027292,455.11800758527465,470.87451901119005,482.3003271490104
Cambodia,6583.6585635403835,6667.435548880153,6774.843413692984,6923.141646829969,7062.599467744463,7200.242574070411,7316.679711183997,7430.475121300966,7568.2448990938565,7696.914735525513,7835.480841472506,7981.440362290318,8145.814408368366,8323.90673575824,8523.548978945642,8725.29879205652,8953.466773006487,9215.218374582266,9482.33760934113,9764.707337383976,10079.293691802775,10394.864638934056,10723.928352608587,11076.508523785042,11452.363158461902,11851.56349573251,12267.709695988086,12662.589632909323
China,1417625.7642435587,1453581.9764399931,1480675.909939689,1512251.6484112008,1543029.865754309,1580792.1695430547,1615972.1360045841,1645039.3697567368,1683297.2085018598,1720960.6060132515,1765004.2549462563,1795793.8188512682,1833282.7078596281,1875251.773262841,1910143.6024392112,1902372.9472476603,1889416.7602732137,1913358.289464302,1956948.4419459088,2015746.137704186,2073856.7929144509,2140438.09902929,2207716.067980945,2253194.5984113645,2368135.9182825875,2497291.801884345,2585950.112278459,2606906.7855551983
Cyprus,1031.324491361526,1045.5752812062303,1063.3809373202237,1066.803639960482,1086.2531755344723,1111.6885344140117,1159.2397728033886,1224.656571220973,1263.5824591151206,1303.1302233389254,1364.3992989765352,1404.8005574080958,1454.0502552426824,1501.2363311231204,1552.7723389159835,1582.5768512632133,1608.0624823811565,1649.423472185646,1679.4247251577576,1728.1433982752087,1771.3688891070826,1798.4857476462698,1836.290461377244,1884.4256339817289,1929.7029643682447,1969.2834150048752,1999.70435403238,2058.320021452846
